cell_id,model,persona,construct_id,left,right,cluster
A_P_run1,M5,C,C_M5_2,Consensus assumption interrogation,Mechanistic system abstraction,7
A_P_run1,M5,C,C_M5_3,Threat-accepting technical optimization,Premise-skeptical evidence demands,7
A_P_run2,M1,Q,C_M1_1,"E1, E2 — strategic-competitive reasoning about market position",E3 — stakeholder-welfare reasoning about ethical obligations,1
A_P_run2,M1,Q,C_M1_2,"E1, E4 — analysis grounded in product/asset mechanics",E3 — analysis grounded in moral duty to people,2
A_P_run2,M1,Q,C_M1_3,"E1, E2 — qualitative strategic argument from first principles",E5 — quantitative argument from base rates and benchmarks,1
A_P_run2,M2,S,C_M2_1,Human-stakeholder protection lens,Business constraint/value-creation lens,2
A_P_run2,M2,S,C_M2_2,Exploit existing product/operational assets,Build new AI talent base,0
A_P_run2,M2,S,C_M2_3,Product-led AI obsolescence response,Skepticism toward customer-facing AI race,0
A_P_run2,M3,E,C_M3_1,Mechanistic evaluation of competitive survival dynamics,Moral evaluation of socio-emotional stakeholder welfare,2
A_P_run2,M3,E,C_M3_2,Objective engineering of empirical system constraints,Subjective management of human affective transitions,8
A_P_run2,M3,E,C_M3_3,Deductive isolation of fundamental internal mechanisms,Inductive reliance,8
A_P_run2,M4,H,C_M4_1,AI as product-enhancement within existing offering,AI as internally-focused operational efficiency lever,0
A_P_run2,M4,H,C_M4_2,Threat-driven urgency to defend core asset,Empirically-scrutinized resource allocation under uncertainty,7
A_P_run2,M4,H,C_M4_3,Competitive market positioning as primary frame,Human stakeholder welfare as primary frame,0
A_P_run3,M1,Q,C_M1_1,"Decision driven by uncertainty/optionality and EV reasoning (E2, E5)",Decision driven by asset-leverage thesis on installed base (E4),1
A_P_run3,M1,Q,C_M1_2,"Defend the existing flagship product and customer base (E1, E4)",Contrarian skepticism of customer-facing AI demand (E2),0
A_P_run3,M1,Q,C_M1_3,"Quantitative threat modeling and expected-value calculus (E3, E5)",Stakeholder-welfare and normative ethical prioritization (E1),2
A_P_run3,M2,S,C_M2_1,Workflow obsolescence as core threat,Uncertainty management and runway extension,0
A_P_run3,M2,S,C_M2_2,Customer-facing product adaptation,Internal operational efficiency first,0
A_P_run3,M2,S,C_M2_3,Operational leverage despite disruption,Stakeholder-protective product integration,0
A_P_run3,M3,E,C_M3_1,Calculating objective structural leverage and systemic survival requirements,Satisfying subjective normative ethical constraints and stakeholder preservation,2
A_P_run3,M3,E,C_M3_2,Managing risk via abstract decision-theoretic and temporal heuristics,Directly addressing the fundamental customer time-to-value mechanism,9
A_P_run3,M4,H,C_M4_1,Product AI integration to defend core workflows,Operational efficiency over external AI bets,0
A_P_run3,M4,H,C_M4_2,Prioritize operational efficiency and defer transformative AI,Prioritize stakeholder-centered AI product integration,0
A_P_run3,M4,H,C_M4_3,Proactive AI investment to protect product and users,Defensive operational efficiency under high uncertainty,0
A_P_run4,M1,Q,C_M1_1,"Skeptical/contrarian to consensus framing (E2, E3)",Accepts brief's premises at face value (E1),7
A_P_run4,M1,Q,C_M1_2,Grounded in quantitative base rates and data (E2),"Argues from values or rhetorical reframing (E1, E3)",1
A_P_run4,M1,Q,C_M1_3,"Reasons from priors, base rates, or first principles (E2, E4)",Reasons from crowd-psychology and contrarian intuition (E3),8
A_P_run4,M2,S,C_M2_1,Firm-specific investment prescription,Abstract disruption mechanism,0
A_P_run4,M2,S,C_M2_2,Skeptical of AI-transformation imperative,Treats AI disruption as structural inevitability,8
A_P_run4,M2,S,C_M2_3,Economic leverage and operating assets,Stakeholder dignity and harm minimization,2
A_P_run4,M4,H,C_M4_1,Skeptical about AI transformation,Advocates full AI integration,0
A_P_run4,M4,H,C_M4_2,Human-centered reasoning,Mechanistic system reframing,8
A_P_run4,M4,H,C_M4_3,Decision process focus,Product substance focus,0
A_P_run4,M5,C,C_M5_1,Epistemological critique/deconstruction,Concrete strategic prescription,7
A_P_run4,M5,C,C_M5_2,External partnership reliance,Internal product integration,0
A_P_run4,M5,C,C_M5_3,Human/ethical values framework,Technical/systems mechanism framework,2
A_P_run5,M1,Q,C_M1_1,"E1, E4 — reframe the problem before recommending action",E5 — accept brief and prescribe a listed option,1
A_P_run5,M1,Q,C_M1_2,E3 — expected-value reasoning under capital/runway constraints,"E4, E5 — first-principles or normative reasoning from fixed premises",1
A_P_run5,M1,Q,C_M1_3,"E2, E4 — anchor on product/workflow mechanism of value",E5 — anchor on stakeholder welfare and human capital,1
A_P_run5,M2,S,C_M2_1,Anti-capability-race capital discipline (E1/E3),Installed-base product integration leverage (E2),1
A_P_run5,M2,S,C_M2_2,Anti-capability-race capital discipline (E1/E3),Workflow-state-machine value mechanics (E4),1
A_P_run5,M2,S,C_M2_3,Workflow-layer value transformation (E2/E4),Product-layer innovation race skepticism (E1),1
A_P_run5,M3,E,C_M3_1,Capability advantage is strictly bound by absolute capital volume,Capability advantage is strictly bound by existing user workflows,4
A_P_run5,M3,E,C_M3_2,Optimizing system state for enterprise market survival and commercial value,Optimizing system state for harm reduction and employee livelihood protection,9
A_P_run5,M4,H,C_M4_1,Prioritizes protecting existing stakeholders and relationships,Prioritizes abstract structural or mechanistic analysis,7
A_P_run5,M4,H,C_M4_2,Prioritizes risk mitigation and capital preservation,Prioritizes employee dignity and ethical responsibility,2
A_P_run5,M4,H,C_M4_3,Prioritizes strategic skepticism and avoiding hype-driven bets,Prioritizes reducing harm to vulnerable employees and customers,7
A_P_run5,M5,C,C_M5_1,"Reject unwinnable capability race (E1, E3)",Abstract product-state mechanics (E4),1
A_P_run5,M5,C,C_M5_2,"Aggressive AI capability investment (E2, E5)",Reject AI panic allocation (E1),1
A_P_run5,M5,C,C_M5_3,"Product-workflow mechanism focus (E2, E4)",Capital-runway preservation logic (E3),1
B_N_run1,M1,neutral,C_M1_1,"Leadership/scaling mismatch as root cause (E1, E3)",Layoff-induced psychological safety loss (E2),5
B_N_run1,M1,neutral,C_M1_2,"Layoff trauma as primary diagnosis (E4, E5)",Leadership style failing to scale (E1),5
B_N_run1,M1,neutral,C_M1_3,"Structural/organizational stage explanation (E1, E3)",Acute event-driven trust explanation (E2),1
B_N_run1,M2,neutral,C_M2_1,Scaling-driven leadership mismatch,Layoff-driven psychological safety loss,5
B_N_run1,M2,neutral,C_M2_2,Leadership operating-model mismatch,Post-layoff trust rupture,5
B_N_run1,M2,neutral,C_M2_3,Timeline-based layoff trauma diagnosis,Growth-stage leadership mismatch diagnosis,5
B_N_run1,M3,neutral,C_M3_1,"Alternatively, E3 and E4 describe the *trigger* in terms of the past (E4: 4 months ago","6 months ago, E3: earlier growth phases).",1
B_N_run1,M4,neutral,C_M4_1,Diagnosis rooted in leadership style mismatch,Diagnosis rooted in organizational trauma from layoff,5
B_N_run1,M4,neutral,C_M4_2,Diagnosis driven by layoff timeline and trauma,"Diagnosis driven by layoff trauma, with added emphasis on coherence",8
B_N_run1,M4,neutral,C_M4_3,Diagnosis driven by layoff timeline and trauma,Diagnosis rooted in leadership style mismatch,5
B_N_run1,M5,neutral,C_M5_1,Post-layoff psychological safety collapse,Scaling leadership style mismatch,5
B_N_run1,M5,neutral,C_M5_2,Timeline-centric trauma diagnosis,Organizational scaling analysis,8
B_N_run1,M5,neutral,C_M5_3,Structural phase-transition diagnosis,Acute layoff trauma diagnosis,8
B_N_run2,M1,neutral,C_M1_1,"E1, E3 — layoff-triggered psychological safety diagnosis",E2 — structural leadership/maturation mismatch diagnosis,5
B_N_run2,M1,neutral,C_M1_2,"E1, E3 — emphasizes timing/behavioral evidence as causal proof",E2 — emphasizes team size and lifecycle phase,1
B_N_run2,M1,neutral,C_M1_3,"E2, E5 — frames issue as scaling/inflection point",E3 — frames issue as post-layoff safety erosion,1
B_N_run2,M2,neutral,C_M2_1,Scaling-inflection focus without layoff rebuttal,Timeline-based layoff rebuttal,8
B_N_run2,M2,neutral,C_M2_2,Leadership/scaling mismatch as primary cause,Layoff-driven psychological safety loss,5
B_N_run2,M2,neutral,C_M2_3,Layoff-driven psychological safety loss,Pre-layoff leadership adaptation failure,5
B_N_run2,M3,neutral,C_M3_1,Focuses on structural scaling thresholds and headcount metrics,Focuses on interpersonal dynamics and communication shifts,8
B_N_run2,M3,neutral,C_M3_2,Attributes decline to organic growth and structural evolution,Attributes decline to a specific external disruptive event,3
B_N_run2,M4,neutral,C_M4_1,Layoff-caused safety loss,Maturation-caused leadership gap,5
B_N_run2,M4,neutral,C_M4_2,Downward trust spiral,Outgrown leadership model,5
B_N_run2,M4,neutral,C_M4_3,Layoff-caused safety loss,Maturation-caused leadership gap,5
B_N_run2,M5,neutral,C_M5_1,Event-triggered psychological safety collapse,Maturation-phase leadership capacity gap,5
B_N_run2,M5,neutral,C_M5_2,Temporal-causal correlation analysis,Organizational development stage theory,8
B_N_run2,M5,neutral,C_M5_3,Workforce reduction as primary causal agent,Scaling inflection as primary causal agent,8
B_N_run3,M1,neutral,C_M1_1,"Structural/scaling breakdown diagnosis (E3, E4)",Emotional/trust rupture diagnosis (E5),8
B_N_run3,M1,neutral,C_M1_2,"Organizational scale as key signal (E1, E3)",Post-layoff trust dynamics as key signal (E2),5
B_N_run3,M1,neutral,C_M1_3,"Retrospective vocabulary shift as key evidence (E3, E5)",Organizational size inflection as key evidence (E1),8
B_N_run3,M2,neutral,C_M2_1,Layoff-triggered psychological safety loss,Scale-driven leadership mismatch,5
B_N_run3,M2,neutral,C_M2_2,Trust rupture after layoffs,Operating model outgrown by scale,5
B_N_run3,M2,neutral,C_M2_3,Scale-driven coordination failure,Layoff-driven trust collapse,5
B_N_run3,M3,neutral,C_M3_1,Diagnoses loss of psychological safety centered around a past layoff event,Diagnoses leadership mismatch centered around structural organizational scaling limits,5
B_N_run3,M3,neutral,C_M3_2,Uses the specific shift in retrospective themes as core evidence,Relies on chronology and broader behavioral responses without mentioning retrospectives,8
B_N_run3,M4,neutral,C_M4_1,Systemic coordination failure from scaling,Psychological safety loss from layoff,5
B_N_run3,M4,neutral,C_M4_2,Informal models failing at scale,Trust and safety damaged by layoff,5
B_N_run3,M4,neutral,C_M4_3,Leadership model inadequate for team size,Team trust shattered by recent,5
B_N_run3,M5,neutral,C_M5_1,Growth-stage structural coordination failure,Layoff-induced psychological safety collapse,5
B_N_run3,M5,neutral,C_M5_2,Retrospective-theme diagnostic focus,Organizational-scale interpretive lens,8
B_N_run3,M5,neutral,C_M5_3,Layoff-timeline trust-rupture analysis,Structural scaling inflection,5
B_N_run4,M1,neutral,C_M1_1,Cites specific retro-content shift as key evidence,Cites team size/scaling inflection as key evidence,8
B_N_run4,M1,neutral,C_M1_2,Frames diagnosis around organizational scale thresholds,Frames diagnosis around delivery trajectory decline,8
B_N_run4,M1,neutral,C_M1_3,Emphasizes structural/scaling operating-model breakdown,Emphasizes post-layoff psychological and attrition dynamics,5
B_N_run4,M2,neutral,C_M2_1,Scaling/operating-model breakdown,Symptom-led performance decline,8
B_N_run4,M2,neutral,C_M2_2,Scaling-driven leadership mismatch,Layoff-driven psychological safety loss,5
B_N_run4,M2,neutral,C_M2_3,Attrition-centered evidence,Structure-centered scaling evidence,8
B_N_run4,M3,neutral,C_M3_1,Selects leadership style mismatch as the primary diagnosis,Selects loss of psychological safety as the primary diagnosis,5
B_N_run4,M3,neutral,C_M3_2,Focuses on structural growing pains and team size at scale,Focuses on timeline correlations and specific triggering events,8
B_N_run4,M4,neutral,C_M4_1,Cites specific brief signals,References general scaling theory,8
B_N_run4,M4,neutral,C_M4_2,Leadership style mismatch diagnosis,Psychological safety loss diagnosis,5
B_N_run4,M4,neutral,C_M4_3,Attributes decline to internal scaling dynamics,Attributes decline to a recent layoff event,5
B_N_run4,M5,neutral,C_M5_1,Endogenous structural leadership mismatch,Exogenous psychological safety rupture,5
B_N_run4,M5,neutral,C_M5_2,Retrospective thematic shift signal,Temporal layoff correlation signal,8
B_N_run4,M5,neutral,C_M5_3,Heroic leadership style failure,Scale-driven informal breakdown,5
B_N_run5,M1,neutral,C_M1_1,"E1, E2 — post-layoff trust collapse diagnosis",E3 — leadership-style/scaling mismatch diagnosis,5
B_N_run5,M1,neutral,C_M1_2,"E2, E4 — post-layoff psychological safety erosion",E3 — outgrown leadership operating model,5
B_N_run5,M1,neutral,C_M1_3,"E3, E5 — structural scaling and leadership mismatch",E1 — event-triggered social contract rupture,1
B_N_run5,M2,neutral,C_M2_1,Layoff-triggered psychological safety collapse,Scaling-driven leadership style mismatch,5
B_N_run5,M2,neutral,C_M2_2,Layoff-centered trust rupture diagnosis,Process-driven leadership mismatch diagnosis,5
B_N_run5,M2,neutral,C_M2_3,Post-layoff psychological safety erosion,Scaling inflection leadership mismatch,5
B_N_run5,M3,neutral,C_M3_1,Identifies loss of psychological safety as the primary diagnosis,Identifies a leadership style mismatch as the primary diagnosis,5
B_N_run5,M3,neutral,C_M3_2,Attributes team decline to a discrete traumatic organizational event,Attributes team decline to gradual organizational scaling and maturation,8
B_N_run5,M4,neutral,C_M4_1,Root cause: psychological safety loss post-layoff,Root cause: leadership style misfit with team scale,5
B_N_run5,M4,neutral,C_M4_2,Root cause: leadership style misfit with team scale,Root cause: psychological safety loss post-layoff,5
B_N_run5,M4,neutral,C_M4_3,Root cause: leadership style misfit with team scale,Root cause: psychological safety loss post-layoff,5
B_N_run5,M5,neutral,C_M5_1,Acute post-layoff psychological safety collapse,Maturation-phase leadership system mismatch,5
B_N_run5,M5,neutral,C_M5_2,Acute post-layoff psychological safety collapse,Maturation-phase leadership system mismatch,5
B_N_run5,M5,neutral,C_M5_3,Acute post-layoff psychological safety collapse,Maturation-phase leadership system mismatch,5
B_P_run1,M1,S,C_M1_1,Diagnosis attributes decline to layoff-induced psychological rupture,Diagnosis attributes decline to structural leadership-model mismatch,5
B_P_run1,M1,S,C_M1_2,Reasoning from observed signals and temporal evidence,Reasoning by inverting consensus assumptions,8
B_P_run1,M1,S,C_M1_3,Converges on post-layoff safety collapse,Diverges toward leadership-style explanation,5
B_P_run1,M2,E,C_M2_1,Layoff-triggered psychological safety collapse,Leadership-style operating model mismatch,5
B_P_run1,M2,E,C_M2_2,Leadership-style operating model mismatch,Layoff-triggered psychological safety trauma,5
B_P_run1,M2,E,C_M2_3,Layoff-triggered psychological safety collapse,Leadership-style operating model mismatch,5
B_P_run1,M3,H,C_M3_1,Reducing team struggles to structural mechanics and leadership scaling,Acknowledging psychological burden and threat-responses to systemic harm,5
B_P_run1,M3,H,C_M3_2,Commodifying employees as economic variables and operational constraints,"Centering employee dignity, social contracts, and collective trauma",2
B_P_run1,M4,C,C_M4_1,Post-layoff psychological safety collapse,Leadership–operating model misfit,5
B_P_run1,M4,C,C_M4_2,Layoff-driven trust and safety erosion,Growth-phase leadership style mismatch,5
B_P_run1,M4,C,C_M4_3,Layoff-induced collective trauma response,Scaled-team leadership failure,5
B_P_run1,M5,Q,C_M5_1,Quantitative behavioral signal detection,Qualitative interpretive meaning-making,8
B_P_run1,M5,Q,C_M5_2,Endogenous leadership-structure causation,Exogenous event-trauma causation,5
B_P_run1,M5,Q,C_M5_3,Epistemological diagnostic methodology,Structural-organizational description,8
B_P_run2,M1,S,C_M1_1,"Diagnoses structural/coordination failure (E1, E4)",Diagnoses relational/safety rupture (E5),1
B_P_run2,M1,S,C_M1_2,Quantitative-probabilistic reasoning (E3),"Qualitative-interpretive reasoning (E2, E5)",1
B_P_run2,M1,S,C_M1_3,"Consensus-aligned diagnosis (E2, E3)",Contrarian against prevailing instinct (E4),8
B_P_run2,M2,E,C_M2_1,Structural leadership/coordination bottleneck,Layoff-induced psychological safety rupture,5
B_P_run2,M2,E,C_M2_2,Scaling/leadership architecture failure,Layoff-timed trust and safety collapse,5
B_P_run2,M2,E,C_M2_3,Layoff-centered human trust rupture,Contrarian structural leadership diagnosis,5
B_P_run2,M3,H,C_M3_1,Objectifying workers as mechanistic components in a structural scaling model,Recognizing workers as moral subjects affected by ruptured social contracts,2
B_P_run2,M3,H,C_M3_2,Categorizing emotional distress as an operational distraction to be bypassed,Identifying psychological harm and institutional betrayal as the core constraint,2
B_P_run2,M4,C,C_M4_1,Primary cause: leadership style mismatch,Primary cause: loss of psychological safety,5
B_P_run2,M4,C,C_M4_2,Primary cause: leadership style mismatch,Primary cause: loss of psychological safety,5
B_P_run2,M4,C,C_M4_3,Primary cause: leadership style mismatch,Primary cause: loss of psychological safety,5
B_P_run2,M5,Q,C_M5_1,Qualitative interpretive phenomenological analysis,Probabilistic inference with explicit confidence intervals,8
B_P_run2,M5,Q,C_M5_2,Retrospective content shift diagnostic reliance,Structural-demographic scaling threshold analysis,8
B_P_run2,M5,Q,C_M5_3,Structural-demographic scaling threshold analysis,Temporal-causal sequencing and timing analysis,8
B_P_run3,M1,S,C_M1_1,"Layoff as causal shock (E1, E4)",Layoff as amplifier of prior dysfunction (E5),8
B_P_run3,M1,S,C_M1_2,"Clinical/empirical diagnostic register (E1, E5)",Humanist/moral framing of the team (E2),8
B_P_run3,M1,S,C_M1_3,Discrete event triggers decline (E1),"Structural mismatch with scale/phase (E3, E5)",8
B_P_run3,M2,E,C_M2_1,E1/E4: empirical timing-signature diagnosis,E2: humanist trauma framing,8
B_P_run3,M2,E,C_M2_2,E1: terse causal assertion,E2/E4: elaborated interpretive diagnosis,8
B_P_run3,M2,E,C_M2_3,E1/E2: layoff-caused psychological safety loss,E5: pre-layoff leadership mismatch,5
B_P_run3,M3,H,C_M3_1,Centering the dignity and existential trauma of vulnerable stakeholders,Abstracting workers into mechanistic components of a systemic engine,2
B_P_run3,M3,H,C_M3_2,Framing crises as moral ruptures requiring empathetic stakeholder care,Framing crises as detached diagnostic puzzles to optimize output,2
B_P_run3,M5,Q,C_M5_1,Shock-event anchoring (layoff-centered causality),Developmental-phase constraints (scale-centered structuralism),8
B_P_run3,M5,Q,C_M5_2,Temporal-signature correlation (timeline-pattern empiricism),Structural-phase configuration (operating-system architecture),8
B_P_run3,M5,Q,C_M5_3,Event-anchored causality,Structural-scale dynamics,8
B_P_run4,M2,E,C_M2_1,Layoff-triggered psychological safety rupture,Leadership operating-model mismatch,5
B_P_run4,M2,E,C_M2_2,Scaling requires new leadership system,Layoff trauma damaged trust,5
B_P_run4,M2,E,C_M2_3,Coordination breakdown from leadership mismatch,Human-centered layoff aftermath framing,5
B_P_run4,M3,H,C_M3_1,Mechanistic framing treating human workers as interchangeable system components,"Centering lived experience, psychological vulnerability, and systemic organizational trauma",8
B_P_run4,M3,H,C_M3_2,Abstract epistemic posturing that actively dismisses human emotional realities,Concrete structural analysis acknowledging shifting relational and operational contexts,8
B_P_run4,M4,C,C_M4_1,Leadership/structural mismatch diagnosis,Psychological safety loss diagnosis,5
B_P_run4,M4,C,C_M4_2,Signal-oriented organizational reading,Direct causal mechanism statement,8
B_P_run4,M4,C,C_M4_3,Retrospective shift as central evidence,Layoff trauma as central evidence,8
B_P_run4,M5,Q,C_M5_1,Objective Structural/Temporal Constraint Analysis,Epistemic Contrarianism and Consensus Positioning,8
B_P_run4,M5,Q,C_M5_2,Instrumental Root-Cause Diagnostic Analysis,Humanistic Lived-Experience Framing,8
B_P_run4,M5,Q,C_M5_3,Deterministic Structural Causal Modeling,Explicit Probabilistic Uncertainty Quantification,8
B_P_run5,M1,S,C_M1_1,"Human/relational rupture as root cause (E2, E3)",Structural/scaling mismatch as root cause (E5),1
B_P_run5,M1,S,C_M1_2,"Endorses consensus psychological-safety diagnosis (E2, E3)",Contrarian reframing against consensus diagnosis (E4),8
B_P_run5,M1,S,C_M1_3,"Diagnosis anchored in temporal/signal pattern reading (E1, E4)",Diagnosis anchored in moral/humanistic argument (E2),8
B_P_run5,M2,E,C_M2_1,Evidence-led causal diagnosis,Moral-existential workplace critique,2
B_P_run5,M2,E,C_M2_2,Layoff-driven psychological safety loss,Scaling-driven leadership model mismatch,5
B_P_run5,M2,E,C_M2_3,Layoff aftershock as primary cause,Contrarian leadership mismatch hypothesis,5
B_P_run5,M3,H,C_M3_1,Erasing worker vulnerability to prioritize structural organizational optimization,Acknowledging the emotional fallout and psychological distress of the workforce,8
B_P_run5,M3,H,C_M3_2,"Viewing the team as a mechanistic, depersonalized abstract system",Centering human dignity and the rupture of the social contract,2
B_P_run5,M4,C,C_M4_1,Systems-thinking with evidence signals,"Human-centric framing (E2 is the odd one out as it is not present; replacing with the correct triad members: E1 and E3 are similar in using systemic, evidence-based analysis, while E5 is different in focusing on leadership fit)",8
B_P_run5,M4,C,C_M4_2,System-level evidence analysis,Structural role-fit analysis,8
B_P_run5,M4,C,C_M4_3,Trauma-centered diagnosis,Adaptation-centered diagnosis,8
