cell_id,task,condition,run_idx,owner_model,owner_persona,construct_id,left_pole,right_pole,triad
A_P_run2,A,P,2,M2,S,C_M2_1,Human-stakeholder protection lens,Business constraint/value-creation lens,"E3,E4,E5"
A_P_run2,A,P,2,M2,S,C_M2_2,Exploit existing product/operational assets,Build new AI talent base,"E1,E3,E5"
A_P_run2,A,P,2,M2,S,C_M2_3,Product-led AI obsolescence response,Skepticism toward customer-facing AI race,"E1,E2,E4"
A_P_run2,A,P,2,M3,E,C_M3_1,Mechanistic evaluation of competitive survival dynamics,Moral evaluation of socio-emotional stakeholder welfare,"E1,E2,E3"
A_P_run2,A,P,2,M3,E,C_M3_2,Objective engineering of empirical system constraints,Subjective management of human affective transitions,"E3,E4,E5"
A_P_run2,A,P,2,M3,E,C_M3_3,Deductive isolation of fundamental internal mechanisms,Inductive reliance,"E2,E4,E5"
A_P_run2,A,P,2,M4,H,C_M4_1,AI as product-enhancement within existing offering,AI as internally-focused operational efficiency lever,"E1,E4,E5"
A_P_run2,A,P,2,M4,H,C_M4_2,Threat-driven urgency to defend core asset,Empirically-scrutinized resource allocation under uncertainty,"E1,E4,E5"
A_P_run2,A,P,2,M4,H,C_M4_3,Competitive market positioning as primary frame,Human stakeholder welfare as primary frame,"E2,E3,E4"
A_P_run3,A,P,3,M1,Q,C_M1_1,"Decision driven by uncertainty/optionality and EV reasoning (E2, E5)",Decision driven by asset-leverage thesis on installed base (E4),"E2,E4,E5"
A_P_run3,A,P,3,M1,Q,C_M1_2,"Defend the existing flagship product and customer base (E1, E4)",Contrarian skepticism of customer-facing AI demand (E2),"E1,E2,E4"
A_P_run3,A,P,3,M1,Q,C_M1_3,"Quantitative threat modeling and expected-value calculus (E3, E5)",Stakeholder-welfare and normative ethical prioritization (E1),"E1,E3,E5"
A_P_run3,A,P,3,M2,S,C_M2_1,Workflow obsolescence as core threat,Uncertainty management and runway extension,"E3,E4,E5"
A_P_run3,A,P,3,M2,S,C_M2_2,Customer-facing product adaptation,Internal operational efficiency first,"E1,E2,E3"
A_P_run3,A,P,3,M2,S,C_M2_3,Operational leverage despite disruption,Stakeholder-protective product integration,"E1,E2,E5"
A_P_run3,A,P,3,M3,E,C_M3_1,Calculating objective structural leverage and systemic survival requirements,Satisfying subjective normative ethical constraints and stakeholder preservation,"E1,E4,E5"
A_P_run3,A,P,3,M3,E,C_M3_2,Managing risk via abstract decision-theoretic and temporal heuristics,Directly addressing the fundamental customer time-to-value mechanism,"E2,E3,E5"
A_P_run3,A,P,3,M4,H,C_M4_1,Product AI integration to defend core workflows,Operational efficiency over external AI bets,"E2,E3,E4"
A_P_run3,A,P,3,M4,H,C_M4_2,Prioritize operational efficiency and defer transformative AI,Prioritize stakeholder-centered AI product integration,"E1,E2,E5"
A_P_run3,A,P,3,M4,H,C_M4_3,Proactive AI investment to protect product and users,Defensive operational efficiency under high uncertainty,"E1,E3,E5"
A_P_run4,A,P,4,M1,Q,C_M1_1,"Skeptical/contrarian to consensus framing (E2, E3)",Accepts brief's premises at face value (E1),"E1,E2,E3"
A_P_run4,A,P,4,M1,Q,C_M1_2,Grounded in quantitative base rates and data (E2),"Argues from values or rhetorical reframing (E1, E3)","E1,E2,E3"
A_P_run4,A,P,4,M1,Q,C_M1_3,"Reasons from priors, base rates, or first principles (E2, E4)",Reasons from crowd-psychology and contrarian intuition (E3),"E2,E3,E4"
A_P_run4,A,P,4,M2,S,C_M2_1,Firm-specific investment prescription,Abstract disruption mechanism,"E2,E4,E5"
A_P_run4,A,P,4,M2,S,C_M2_2,Skeptical of AI-transformation imperative,Treats AI disruption as structural inevitability,"E2,E3,E4"
A_P_run4,A,P,4,M2,S,C_M2_3,Economic leverage and operating assets,Stakeholder dignity and harm minimization,"E1,E2,E5"
A_P_run4,A,P,4,M4,H,C_M4_1,Skeptical about AI transformation,Advocates full AI integration,"E2,E3,E5"
A_P_run4,A,P,4,M4,H,C_M4_2,Human-centered reasoning,Mechanistic system reframing,"E1,E3,E4"
A_P_run4,A,P,4,M4,H,C_M4_3,Decision process focus,Product substance focus,"E3,E4,E5"
A_P_run4,A,P,4,M5,C,C_M5_1,Epistemological critique/deconstruction,Concrete strategic prescription,"E1,E3,E5"
A_P_run4,A,P,4,M5,C,C_M5_2,External partnership reliance,Internal product integration,"E1,E2,E5"
A_P_run4,A,P,4,M5,C,C_M5_3,Human/ethical values framework,Technical/systems mechanism framework,"E1,E4,E5"
A_P_run5,A,P,5,M1,Q,C_M1_1,"E1, E4 — reframe the problem before recommending action",E5 — accept brief and prescribe a listed option,"E1,E4,E5"
A_P_run5,A,P,5,M1,Q,C_M1_2,E3 — expected-value reasoning under capital/runway constraints,"E4, E5 — first-principles or normative reasoning from fixed premises","E3,E4,E5"
A_P_run5,A,P,5,M1,Q,C_M1_3,"E2, E4 — anchor on product/workflow mechanism of value",E5 — anchor on stakeholder welfare and human capital,"E2,E4,E5"
A_P_run5,A,P,5,M2,S,C_M2_1,Anti-capability-race capital discipline (E1/E3),Installed-base product integration leverage (E2),"E1,E2,E3"
A_P_run5,A,P,5,M2,S,C_M2_2,Anti-capability-race capital discipline (E1/E3),Workflow-state-machine value mechanics (E4),"E1,E3,E4"
A_P_run5,A,P,5,M2,S,C_M2_3,Workflow-layer value transformation (E2/E4),Product-layer innovation race skepticism (E1),"E1,E2,E4"
A_P_run5,A,P,5,M3,E,C_M3_1,Capability advantage is strictly bound by absolute capital volume,Capability advantage is strictly bound by existing user workflows,"E1,E2,E3"
A_P_run5,A,P,5,M3,E,C_M3_2,Optimizing system state for enterprise market survival and commercial value,Optimizing system state for harm reduction and employee livelihood protection,"E2,E3,E5"
A_P_run5,A,P,5,M4,H,C_M4_1,Prioritizes protecting existing stakeholders and relationships,Prioritizes abstract structural or mechanistic analysis,"E2,E4,E5"
A_P_run5,A,P,5,M4,H,C_M4_2,Prioritizes risk mitigation and capital preservation,Prioritizes employee dignity and ethical responsibility,"E3,E4,E5"
A_P_run5,A,P,5,M4,H,C_M4_3,Prioritizes strategic skepticism and avoiding hype-driven bets,Prioritizes reducing harm to vulnerable employees and customers,"E1,E3,E5"
A_P_run5,A,P,5,M5,C,C_M5_1,"Reject unwinnable capability race (E1, E3)",Abstract product-state mechanics (E4),"E1,E3,E4"
A_P_run5,A,P,5,M5,C,C_M5_2,"Aggressive AI capability investment (E2, E5)",Reject AI panic allocation (E1),"E1,E2,E5"
A_P_run5,A,P,5,M5,C,C_M5_3,"Product-workflow mechanism focus (E2, E4)",Capital-runway preservation logic (E3),"E2,E3,E4"
B_N_run1,B,N,1,M1,neutral,C_M1_1,"Leadership/scaling mismatch as root cause (E1, E3)",Layoff-induced psychological safety loss (E2),"E1,E2,E3"
B_N_run1,B,N,1,M1,neutral,C_M1_2,"Layoff trauma as primary diagnosis (E4, E5)",Leadership style failing to scale (E1),"E1,E4,E5"
B_N_run1,B,N,1,M1,neutral,C_M1_3,"Structural/organizational stage explanation (E1, E3)",Acute event-driven trust explanation (E2),"E1,E2,E3"
B_N_run1,B,N,1,M2,neutral,C_M2_1,Scaling-driven leadership mismatch,Layoff-driven psychological safety loss,"E1,E3,E5"
B_N_run1,B,N,1,M2,neutral,C_M2_2,Leadership operating-model mismatch,Post-layoff trust rupture,"E1,E2,E4"
B_N_run1,B,N,1,M2,neutral,C_M2_3,Timeline-based layoff trauma diagnosis,Growth-stage leadership mismatch diagnosis,"E2,E3,E4"
B_N_run1,B,N,1,M3,neutral,C_M3_1,"Alternatively, E3 and E4 describe the *trigger* in terms of the past (E4: 4 months ago","6 months ago, E3: earlier growth phases).","E3,E4,E5"
B_N_run1,B,N,1,M4,neutral,C_M4_1,Diagnosis rooted in leadership style mismatch,Diagnosis rooted in organizational trauma from layoff,"E1,E3,E5"
B_N_run1,B,N,1,M4,neutral,C_M4_2,Diagnosis driven by layoff timeline and trauma,"Diagnosis driven by layoff trauma, with added emphasis on coherence","E2,E4,E5"
B_N_run1,B,N,1,M4,neutral,C_M4_3,Diagnosis driven by layoff timeline and trauma,Diagnosis rooted in leadership style mismatch,"E2,E3,E5"
B_N_run1,B,N,1,M5,neutral,C_M5_1,Post-layoff psychological safety collapse,Scaling leadership style mismatch,"E1,E2,E5"
B_N_run1,B,N,1,M5,neutral,C_M5_2,Timeline-centric trauma diagnosis,Organizational scaling analysis,"E1,E2,E4"
B_N_run1,B,N,1,M5,neutral,C_M5_3,Structural phase-transition diagnosis,Acute layoff trauma diagnosis,"E1,E3,E4"
B_N_run2,B,N,2,M1,neutral,C_M1_1,"E1, E3 — layoff-triggered psychological safety diagnosis",E2 — structural leadership/maturation mismatch diagnosis,"E1,E2,E3"
B_N_run2,B,N,2,M1,neutral,C_M1_2,"E1, E3 — emphasizes timing/behavioral evidence as causal proof",E2 — emphasizes team size and lifecycle phase,"E1,E2,E3"
B_N_run2,B,N,2,M1,neutral,C_M1_3,"E2, E5 — frames issue as scaling/inflection point",E3 — frames issue as post-layoff safety erosion,"E2,E3,E5"
B_N_run2,B,N,2,M2,neutral,C_M2_1,Scaling-inflection focus without layoff rebuttal,Timeline-based layoff rebuttal,"E2,E4,E5"
B_N_run2,B,N,2,M2,neutral,C_M2_2,Leadership/scaling mismatch as primary cause,Layoff-driven psychological safety loss,"E3,E4,E5"
B_N_run2,B,N,2,M2,neutral,C_M2_3,Layoff-driven psychological safety loss,Pre-layoff leadership adaptation failure,"E1,E3,E4"
B_N_run2,B,N,2,M3,neutral,C_M3_1,Focuses on structural scaling thresholds and headcount metrics,Focuses on interpersonal dynamics and communication shifts,"E2,E3,E5"
B_N_run2,B,N,2,M3,neutral,C_M3_2,Attributes decline to organic growth and structural evolution,Attributes decline to a specific external disruptive event,"E1,E2,E5"
B_N_run2,B,N,2,M4,neutral,C_M4_1,Layoff-caused safety loss,Maturation-caused leadership gap,"E1,E2,E4"
B_N_run2,B,N,2,M4,neutral,C_M4_2,Downward trust spiral,Outgrown leadership model,"E1,E4,E5"
B_N_run2,B,N,2,M4,neutral,C_M4_3,Layoff-caused safety loss,Maturation-caused leadership gap,"E1,E2,E4"
B_N_run2,B,N,2,M5,neutral,C_M5_1,Event-triggered psychological safety collapse,Maturation-phase leadership capacity gap,"E3,E4,E5"
B_N_run2,B,N,2,M5,neutral,C_M5_2,Temporal-causal correlation analysis,Organizational development stage theory,"E1,E2,E5"
B_N_run2,B,N,2,M5,neutral,C_M5_3,Workforce reduction as primary causal agent,Scaling inflection as primary causal agent,"E1,E3,E5"
B_N_run3,B,N,3,M1,neutral,C_M1_1,"Structural/scaling breakdown diagnosis (E3, E4)",Emotional/trust rupture diagnosis (E5),"E3,E4,E5"
B_N_run3,B,N,3,M1,neutral,C_M1_2,"Organizational scale as key signal (E1, E3)",Post-layoff trust dynamics as key signal (E2),"E1,E2,E3"
B_N_run3,B,N,3,M1,neutral,C_M1_3,"Retrospective vocabulary shift as key evidence (E3, E5)",Organizational size inflection as key evidence (E1),"E1,E3,E5"
B_N_run3,B,N,3,M2,neutral,C_M2_1,Layoff-triggered psychological safety loss,Scale-driven leadership mismatch,"E2,E4,E5"
B_N_run3,B,N,3,M2,neutral,C_M2_2,Trust rupture after layoffs,Operating model outgrown by scale,"E2,E4,E5"
B_N_run3,B,N,3,M2,neutral,C_M2_3,Scale-driven coordination failure,Layoff-driven trust collapse,"E1,E2,E4"
B_N_run3,B,N,3,M3,neutral,C_M3_1,Diagnoses loss of psychological safety centered around a past layoff event,Diagnoses leadership mismatch centered around structural organizational scaling limits,"E1,E2,E5"
B_N_run3,B,N,3,M3,neutral,C_M3_2,Uses the specific shift in retrospective themes as core evidence,Relies on chronology and broader behavioral responses without mentioning retrospectives,"E2,E3,E5"
B_N_run3,B,N,3,M4,neutral,C_M4_1,Systemic coordination failure from scaling,Psychological safety loss from layoff,"E3,E4,E5"
B_N_run3,B,N,3,M4,neutral,C_M4_2,Informal models failing at scale,Trust and safety damaged by layoff,"E1,E2,E4"
B_N_run3,B,N,3,M4,neutral,C_M4_3,Leadership model inadequate for team size,Team trust shattered by recent,"E1,E4,E5"
B_N_run3,B,N,3,M5,neutral,C_M5_1,Growth-stage structural coordination failure,Layoff-induced psychological safety collapse,"E1,E2,E3"
B_N_run3,B,N,3,M5,neutral,C_M5_2,Retrospective-theme diagnostic focus,Organizational-scale interpretive lens,"E1,E3,E4"
B_N_run3,B,N,3,M5,neutral,C_M5_3,Layoff-timeline trust-rupture analysis,Structural scaling inflection,"E1,E2,E5"
B_N_run4,B,N,4,M1,neutral,C_M1_1,Cites specific retro-content shift as key evidence,Cites team size/scaling inflection as key evidence,"E1,E3,E4"
B_N_run4,B,N,4,M1,neutral,C_M1_2,Frames diagnosis around organizational scale thresholds,Frames diagnosis around delivery trajectory decline,"E1,E3,E5"
B_N_run4,B,N,4,M1,neutral,C_M1_3,Emphasizes structural/scaling operating-model breakdown,Emphasizes post-layoff psychological and attrition dynamics,"E2,E3,E4"
B_N_run4,B,N,4,M2,neutral,C_M2_1,Scaling/operating-model breakdown,Symptom-led performance decline,"E3,E4,E5"
B_N_run4,B,N,4,M2,neutral,C_M2_2,Scaling-driven leadership mismatch,Layoff-driven psychological safety loss,"E2,E3,E5"
B_N_run4,B,N,4,M2,neutral,C_M2_3,Attrition-centered evidence,Structure-centered scaling evidence,"E2,E3,E5"
B_N_run4,B,N,4,M3,neutral,C_M3_1,Selects leadership style mismatch as the primary diagnosis,Selects loss of psychological safety as the primary diagnosis,"E1,E2,E5"
B_N_run4,B,N,4,M3,neutral,C_M3_2,Focuses on structural growing pains and team size at scale,Focuses on timeline correlations and specific triggering events,"E1,E2,E3"
B_N_run4,B,N,4,M4,neutral,C_M4_1,Cites specific brief signals,References general scaling theory,"E3,E4,E5"
B_N_run4,B,N,4,M4,neutral,C_M4_2,Leadership style mismatch diagnosis,Psychological safety loss diagnosis,"E2,E4,E5"
B_N_run4,B,N,4,M4,neutral,C_M4_3,Attributes decline to internal scaling dynamics,Attributes decline to a recent layoff event,"E2,E4,E5"
B_N_run4,B,N,4,M5,neutral,C_M5_1,Endogenous structural leadership mismatch,Exogenous psychological safety rupture,"E2,E3,E4"
B_N_run4,B,N,4,M5,neutral,C_M5_2,Retrospective thematic shift signal,Temporal layoff correlation signal,"E1,E2,E4"
B_N_run4,B,N,4,M5,neutral,C_M5_3,Heroic leadership style failure,Scale-driven informal breakdown,"E1,E3,E4"
B_N_run5,B,N,5,M1,neutral,C_M1_1,"E1, E2 — post-layoff trust collapse diagnosis",E3 — leadership-style/scaling mismatch diagnosis,"E1,E2,E3"
B_N_run5,B,N,5,M1,neutral,C_M1_2,"E2, E4 — post-layoff psychological safety erosion",E3 — outgrown leadership operating model,"E2,E3,E4"
B_N_run5,B,N,5,M1,neutral,C_M1_3,"E3, E5 — structural scaling and leadership mismatch",E1 — event-triggered social contract rupture,"E1,E3,E5"
B_N_run5,B,N,5,M2,neutral,C_M2_1,Layoff-triggered psychological safety collapse,Scaling-driven leadership style mismatch,"E2,E4,E5"
B_N_run5,B,N,5,M2,neutral,C_M2_2,Layoff-centered trust rupture diagnosis,Process-driven leadership mismatch diagnosis,"E1,E3,E4"
B_N_run5,B,N,5,M2,neutral,C_M2_3,Post-layoff psychological safety erosion,Scaling inflection leadership mismatch,"E1,E4,E5"
B_N_run5,B,N,5,M3,neutral,C_M3_1,Identifies loss of psychological safety as the primary diagnosis,Identifies a leadership style mismatch as the primary diagnosis,"E2,E3,E4"
B_N_run5,B,N,5,M3,neutral,C_M3_2,Attributes team decline to a discrete traumatic organizational event,Attributes team decline to gradual organizational scaling and maturation,"E1,E2,E5"
B_N_run5,B,N,5,M4,neutral,C_M4_1,Root cause: psychological safety loss post-layoff,Root cause: leadership style misfit with team scale,"E1,E4,E5"
B_N_run5,B,N,5,M4,neutral,C_M4_2,Root cause: leadership style misfit with team scale,Root cause: psychological safety loss post-layoff,"E2,E3,E5"
B_N_run5,B,N,5,M4,neutral,C_M4_3,Root cause: leadership style misfit with team scale,Root cause: psychological safety loss post-layoff,"E3,E4,E5"
B_N_run5,B,N,5,M5,neutral,C_M5_1,Acute post-layoff psychological safety collapse,Maturation-phase leadership system mismatch,"E1,E2,E3"
B_N_run5,B,N,5,M5,neutral,C_M5_2,Acute post-layoff psychological safety collapse,Maturation-phase leadership system mismatch,"E1,E3,E5"
B_N_run5,B,N,5,M5,neutral,C_M5_3,Acute post-layoff psychological safety collapse,Maturation-phase leadership system mismatch,"E2,E3,E5"
B_P_run1,B,P,1,M1,S,C_M1_1,Diagnosis attributes decline to layoff-induced psychological rupture,Diagnosis attributes decline to structural leadership-model mismatch,"E1,E3,E5"
B_P_run1,B,P,1,M1,S,C_M1_2,Reasoning from observed signals and temporal evidence,Reasoning by inverting consensus assumptions,"E1,E2,E4"
B_P_run1,B,P,1,M1,S,C_M1_3,Converges on post-layoff safety collapse,Diverges toward leadership-style explanation,"E1,E2,E4"
B_P_run1,B,P,1,M2,E,C_M2_1,Layoff-triggered psychological safety collapse,Leadership-style operating model mismatch,"E1,E2,E5"
B_P_run1,B,P,1,M2,E,C_M2_2,Leadership-style operating model mismatch,Layoff-triggered psychological safety trauma,"E2,E3,E5"
B_P_run1,B,P,1,M2,E,C_M2_3,Layoff-triggered psychological safety collapse,Leadership-style operating model mismatch,"E1,E2,E5"
B_P_run1,B,P,1,M3,H,C_M3_1,Reducing team struggles to structural mechanics and leadership scaling,Acknowledging psychological burden and threat-responses to systemic harm,"E2,E4,E5"
B_P_run1,B,P,1,M3,H,C_M3_2,Commodifying employees as economic variables and operational constraints,"Centering employee dignity, social contracts, and collective trauma","E1,E3,E5"
B_P_run1,B,P,1,M4,C,C_M4_1,Post-layoff psychological safety collapse,Leadership–operating model misfit,"E3,E4,E5"
